,SYMBOL,SERIES,OPEN_day2cm,HIGH_day2cm,LOW_day2cm,CLOSE_day2cm,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP_day2cm,TOTALTRADES,ISIN,INSTRUMENT,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN_day2fo,HIGH_day2fo,LOW_day2fo,CLOSE_day2fo,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP_day2fo,ACTUAL BASIS,ACTUAL BASIS %,DAYS TO EXPIRE,FV
1657,APOLLOTYRE,EQ,159.15,162.3,156.45,158.9,158.9,159.05,1949061.0,311409474.95,2015-11-06,23035.0,INE438A01022,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,185.65,161.6,0.0,0.0,0.0,0.0,2015-11-06,0.0167079207921,1.67079207921,83,161.441736153
1783,ARVIND,EQ,282.5,285.5,277.2,283.65,284.25,281.6,1887293.0,529377668.55,2015-11-06,20961.0,INE034A01011,FUTSTK,2015-11-26,0.0,XX,281.15,285.9,275.95,284.25,284.25,3643.0,17339.62,3660100.0,-481100.0,2015-11-06,0.00211081794195,0.211081794195,20,284.736729256
1784,ARVIND,EQ,282.5,285.5,277.2,283.65,284.25,281.6,1887293.0,529377668.55,2015-11-06,20961.0,INE034A01011,FUTSTK,2015-12-31,0.0,XX,280.4,284.45,276.7,284.5,284.5,59.0,280.58,151300.0,40800.0,2015-11-06,0.00298769771529,0.298769771529,55,286.6485335
1785,ARVIND,EQ,282.5,285.5,277.2,283.65,284.25,281.6,1887293.0,529377668.55,2015-11-06,20961.0,INE034A01011,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,270.0,288.45,0.0,0.0,11900.0,0.0,2015-11-06,0.0166406656266,1.66406656266,83,288.187214977
1897,ASHOKLEY,EQ,85.6,87.95,84.1,87.6,87.8,86.8,18725081.0,1620362569.9,2015-11-06,60292.0,INE208A01029,FUTSTK,2015-11-26,0.0,XX,86.4,88.25,84.5,87.95,87.95,6944.0,42226.61,64911000.0,-2527000.0,2015-11-06,0.00397953382604,0.397953382604,20,87.9356160155
1898,ASHOKLEY,EQ,85.6,87.95,84.1,87.6,87.8,86.8,18725081.0,1620362569.9,2015-11-06,60292.0,INE208A01029,FUTSTK,2015-12-31,0.0,XX,86.65,88.35,84.95,88.15,88.15,206.0,1252.4,5096000.0,-21000.0,2015-11-06,0.00623936471923,0.623936471923,55,88.5260410174
1899,ASHOKLEY,EQ,85.6,87.95,84.1,87.6,87.8,86.8,18725081.0,1620362569.9,2015-11-06,60292.0,INE208A01029,FUTSTK,2016-01-28,0.0,XX,86.75,88.75,86.0,88.4,88.4,8.0,48.97,63000.0,35000.0,2015-11-06,0.00904977375566,0.904977375566,83,89.0012340278
2033,ASIANPAINT,EQ,808.55,816.0,800.0,801.2,801.25,805.85,918564.0,742589710.95,2015-11-06,24895.0,INE021A01026,FUTSTK,2015-11-26,0.0,XX,814.7,818.5,804.0,805.75,805.75,2583.0,12579.5,4782600.0,-42000.0,2015-11-06,0.00564691281415,0.564691281415,20,804.269583923
2034,ASIANPAINT,EQ,808.55,816.0,800.0,801.2,801.25,805.85,918564.0,742589710.95,2015-11-06,24895.0,INE021A01026,FUTSTK,2015-12-31,0.0,XX,819.25,820.0,809.0,809.8,809.8,24.0,117.5,71400.0,2400.0,2015-11-06,0.0106199061497,1.06199061497,55,809.669681086
2035,ASIANPAINT,EQ,808.55,816.0,800.0,801.2,801.25,805.85,918564.0,742589710.95,2015-11-06,24895.0,INE021A01026,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,844.75,814.7,0.0,0.0,0.0,0.0,2015-11-06,0.0165705167546,1.65705167546,83,814.015852775
2198,AUROPHARMA,EQ,824.4,833.75,808.4,814.1,814.45,819.0,1146417.0,939322692.8,2015-11-06,24330.0,INE406A01037,FUTSTK,2015-11-26,0.0,XX,827.9,836.6,810.0,818.3,818.3,5297.0,30490.74,14372400.0,20300.0,2015-11-06,0.00513259195894,0.513259195894,20,817.219006829
2199,AUROPHARMA,EQ,824.4,833.75,808.4,814.1,814.45,819.0,1146417.0,939322692.8,2015-11-06,24330.0,INE406A01037,FUTSTK,2015-12-31,0.0,XX,832.6,838.0,817.75,821.25,821.25,117.0,675.99,71400.0,12600.0,2015-11-06,0.00870624048706,0.870624048706,55,822.70605014
2200,AUROPHARMA,EQ,824.4,833.75,808.4,814.1,814.45,819.0,1146417.0,939322692.8,2015-11-06,24330.0,INE406A01037,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,837.0,827.85,0.0,0.0,700.0,0.0,2015-11-06,0.0166092891224,1.66092891224,83,827.122198882
2358,AXISBANK,EQ,462.0,467.5,459.5,465.15,464.15,463.8,9185858.0,4262442363.7,2015-11-06,106249.0,INE238A01034,FUTSTK,2015-11-26,0.0,XX,464.15,470.0,462.1,467.65,467.65,11362.0,53004.3,39685000.0,333000.0,2015-11-06,0.00534587832781,0.534587832781,20,466.932098055
2359,AXISBANK,EQ,462.0,467.5,459.5,465.15,464.15,463.8,9185858.0,4262442363.7,2015-11-06,106249.0,INE238A01034,FUTSTK,2015-12-31,0.0,XX,470.4,472.5,464.75,470.2,470.2,204.0,956.8,538000.0,21000.0,2015-11-06,0.0107401105912,1.07401105912,55,470.067214375
2360,AXISBANK,EQ,462.0,467.5,459.5,465.15,464.15,463.8,9185858.0,4262442363.7,2015-11-06,106249.0,INE238A01034,FUTSTK,2016-01-28,0.0,XX,471.5,473.0,468.85,473.0,473.0,10.0,46.99,21000.0,-3000.0,2015-11-06,0.0165961945032,1.65961945032,83,472.590456713
2589,BAJAJ-AUTO,EQ,2411.1,2448.85,2411.1,2429.45,2430.0,2414.3,178321.0,433701885.05,2015-11-06,21335.0,INE917I01010,FUTSTK,2015-11-26,0.0,XX,2440.85,2454.75,2422.0,2433.45,2433.45,1947.0,9487.49,1383800.0,-40200.0,2015-11-06,0.00164375680618,0.164375680618,20,2438.75778914
2590,BAJAJ-AUTO,EQ,2411.1,2448.85,2411.1,2429.45,2430.0,2414.3,178321.0,433701885.05,2015-11-06,21335.0,INE917I01010,FUTSTK,2015-12-31,0.0,XX,2445.05,2465.0,2433.65,2446.8,2446.8,40.0,195.83,16800.0,2400.0,2015-11-06,0.0070908942292,0.70908942292,55,2455.13230993
2591,BAJAJ-AUTO,EQ,2411.1,2448.85,2411.1,2429.45,2430.0,2414.3,178321.0,433701885.05,2015-11-06,21335.0,INE917I01010,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,2458.6,2470.4,0.0,0.0,200.0,0.0,2015-11-06,0.0165762629534,1.65762629534,83,2468.31105033
