INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BATAINDIA,31-Dec-2015,0,XX,458.2,463.9,450,463.4,463.4,47,214.75,98000,4000,16-NOV-2015,
FUTSTK,BATAINDIA,28-Jan-2016,0,XX,0,0,0,454.7,479.75,0,0,2000,0,16-NOV-2015,
FUTSTK,BEL,26-Nov-2015,0,XX,1230,1256.95,1221.45,1246.45,1246.45,636,3555.83,2347650,-6300,16-NOV-2015,
FUTSTK,BEL,31-Dec-2015,0,XX,1230.1,1250,1223,1243.9,1243.9,40,223.15,38700,7200,16-NOV-2015,
FUTSTK,BEL,28-Jan-2016,0,XX,0,0,0,1261.05,1266.95,0,0,2250,0,16-NOV-2015,
FUTSTK,BEML,26-Nov-2015,0,XX,1080.05,1128.5,1080.05,1107.3,1107.3,241,1329.21,325000,13500,16-NOV-2015,
FUTSTK,BEML,31-Dec-2015,0,XX,1108.3,1125.3,1108.3,1123.3,1111.8,4,22.4,7500,1500,16-NOV-2015,
FUTSTK,BEML,28-Jan-2016,0,XX,0,0,0,1196.75,1118.1,0,0,0,0,16-NOV-2015,
FUTSTK,BHARATFORG,26-Nov-2015,0,XX,893.35,900.25,880.55,890.7,890.7,2449,10895.12,3434500,-27000,16-NOV-2015,
FUTSTK,BHARATFORG,31-Dec-2015,0,XX,899,902.55,885.15,893.5,893.5,87,387.96,81000,8500,16-NOV-2015,
FUTSTK,BHARATFORG,28-Jan-2016,0,XX,0,0,0,829.4,902.15,0,0,0,0,16-NOV-2015,
FUTSTK,BHARTIARTL,26-Nov-2015,0,XX,333.65,339.3,331.1,336.05,336.05,4086,16459.49,18286800,1494000,16-NOV-2015,
FUTSTK,BHARTIARTL,31-Dec-2015,0,XX,333.9,340.85,333,337.9,337.9,107,434.23,303600,42000,16-NOV-2015,
FUTSTK,BHARTIARTL,28-Jan-2016,0,XX,340,342,340,341.5,340.75,3,12.28,15600,2400,16-NOV-2015,
FUTSTK,BHEL,26-Nov-2015,0,XX,177.35,181.4,176.35,178.95,178.95,4569,16383.47,23582000,-14000,16-NOV-2015,
FUTSTK,BHEL,31-Dec-2015,0,XX,176.9,180.5,175.6,178.55,178.55,439,1571.33,1808000,194000,16-NOV-2015,
FUTSTK,BHEL,28-Jan-2016,0,XX,176.45,179.6,176.45,178.15,178.15,23,81.85,172000,4000,16-NOV-2015,
